Designator,Mid X,Mid Y,Layer,Rotation
C1,116.2000mm,-25.8000mm,Top,0.0
C11,101.5000mm,-25.2750mm,Top,270.0
C12,101.5000mm,-28.7750mm,Top,270.0
C13,101.5000mm,-32.2750mm,Top,270.0
C14,101.5000mm,-35.7750mm,Top,270.0
C15,123.0000mm,-34.7750mm,Top,270.0
C16,123.0000mm,-31.2750mm,Top,270.0
C17,123.0000mm,-27.7750mm,Top,270.0
C2,116.2000mm,-24.0000mm,Top,0.0
C3,131.5000mm,-57.5000mm,Top,90.0
D1,91.8000mm,-48.5000mm,Top,180.0
J1,139.7000mm,-57.3000mm,Top,90.0
J2,99.0000mm,-6.6000mm,Top,180.0
R1,122.4000mm,-42.6000mm,Top,180.0
R11,99.5000mm,-23.6750mm,Top,270.0
R12,99.5000mm,-27.1750mm,Top,270.0
R13,99.5000mm,-30.6750mm,Top,270.0
R14,99.5000mm,-34.1750mm,Top,270.0
R15,125.0000mm,-33.1750mm,Top,270.0
R16,125.0000mm,-29.6750mm,Top,270.0
R17,125.0000mm,-26.1750mm,Top,270.0
R2,122.4000mm,-44.2000mm,Top,180.0
R21,96.5000mm,-24.5000mm,Top,180.0
R22,96.5000mm,-28.0000mm,Top,180.0
R23,96.5000mm,-31.5000mm,Top,180.0
R24,96.5000mm,-35.0000mm,Top,180.0
R25,128.0000mm,-34.0000mm,Top,0.0
R26,128.0000mm,-30.5000mm,Top,0.0
R27,128.0000mm,-27.0000mm,Top,0.0
R3,122.4000mm,-41.0000mm,Top,180.0
R4,91.0000mm,-10.4000mm,Top,90.0
R5,87.0000mm,-10.4000mm,Top,90.0
R6,85.0000mm,-10.4000mm,Top,270.0
R7,88.8000mm,-48.5000mm,Top,0.0
SW1,19.2000mm,-9.9000mm,Top,180.0
SW2,19.2000mm,-25.6000mm,Top,180.0
SW3,19.2000mm,-41.2000mm,Top,180.0
SW4,91.7000mm,-43.5000mm,Top,270.0
SW5,164.6000mm,-41.2000mm,Top,0.0
SW6,164.6000mm,-25.6000mm,Top,0.0
SW7,164.6000mm,-9.9000mm,Top,0.0
U1,112.0000mm,-30.0000mm,Top,0.0
